,STUDYSOP,STATUS,DateField,PopulatedCount,% Populated,MissinnessCount,% Missingness
189,GNT01,External,FINALREPORTDATE,0.0,0.0,4.0,100.0
190,GNT01,External,FSFV,0.0,0.0,4.0,100.0
191,GNT01,External,LSLV,0.0,0.0,4.0,100.0
192,GNT01,Ongoing,COMPLETIONDATE,16.0,94.11764705882352,1.0,5.88235294117647
193,GNT01,Ongoing,FINALREPORTDATE,5.0,29.411764705882355,12.0,70.58823529411765
194,GNT01,Ongoing,FSFV,0.0,0.0,17.0,100.0
195,GNT01,Ongoing,LSLV,0.0,0.0,17.0,100.0
196,GNT01,Planned,COMPLETIONDATE,152.0,99.34640522875817,1.0,0.6535947712418301
197,GNT01,Planned,FINALREPORTDATE,0.0,0.0,153.0,100.0
198,GNT01,Planned,FSFV,0.0,0.0,153.0,100.0
199,GNT01,Planned,LSLV,0.0,0.0,153.0,100.0
200,GNT01,Rejected,COMPLETIONDATE,6.0,100.0,0.0,0.0
201,GNT01,Rejected,FINALREPORTDATE,0.0,0.0,6.0,100.0
202,GNT01,Rejected,FSFV,0.0,0.0,6.0,100.0
203,GNT01,Rejected,LSLV,0.0,0.0,6.0,100.0
204,GNT01,Rejected,COMPLETIONDATE,618.0,100.0,0.0,0.0
205,GNT01,Rejected,FINALREPORTDATE,0.0,0.0,618.0,100.0
206,GNT01,Rejected,FSFV,0.0,0.0,618.0,100.0
207,GNT01,Rejected,LSLV,0.0,0.0,618.0,100.0
208,GNT01,Rejected,COMPLETIONDATE,2.0,100.0,0.0,0.0
209,GNT01,Rejected,FINALREPORTDATE,0.0,0.0,2.0,100.0
210,GNT01,Rejected,FSFV,0.0,0.0,2.0,100.0
211,GNT01,Rejected,LSLV,0.0,0.0,2.0,100.0
212,GNT01,Rejected,COMPLETIONDATE,14.0,100.0,0.0,0.0
213,GNT01,Rejected,FINALREPORTDATE,0.0,0.0,14.0,100.0
214,GNT01,Rejected,FSFV,0.0,0.0,14.0,100.0
215,GNT01,Rejected,LSLV,0.0,0.0,14.0,100.0
216,GNT01,Rejected,COMPLETIONDATE,3.0,100.0,0.0,0.0
217,GNT01,Rejected,FINALREPORTDATE,0.0,0.0,3.0,100.0
218,GNT01,Rejected,FSFV,0.0,0.0,3.0,100.0
219,GNT01,Rejected,LSLV,0.0,0.0,3.0,100.0
220,GNT01,Rejected,COMPLETIONDATE,3170.0,99.93694829760403,2.0,0.06305170239596469
221,GNT01,Rejected,FINALREPORTDATE,1.0,0.031525851197982346,3171.0,99.96847414880202
222,GNT01,Rejected,FSFV,0.0,0.0,3172.0,100.0
223,GNT01,Rejected,LSLV,0.0,0.0,3172.0,100.0
224,GNT01,Terminated,COMPLETIONDATE,2.0,100.0,0.0,0.0
225,GNT01,Terminated,FINALREPORTDATE,0.0,0.0,2.0,100.0
226,GNT01,Terminated,FSFV,0.0,0.0,2.0,100.0
227,GNT01,Terminated,LSLV,0.0,0.0,2.0,100.0
228,GNT01,Pending,COMPLETIONDATE,1.0,100.0,0.0,0.0
229,GNT01,Pending,FINALREPORTDATE,0.0,0.0,1.0,100.0
230,GNT01,Pending,FSFV,0.0,0.0,1.0,100.0
231,GNT01,Pending,LSLV,0.0,0.0,1.0,100.0
232,RC01,Closed,COMPLETIONDATE,78.0,100.0,0.0,0.0
233,RC01,Closed,FINALREPORTDATE,72.0,92.3076923076923,6.0,7.6923076923076925
234,RC01,Closed,FSFV,0.0,0.0,78.0,100.0
235,RC01,Closed,LSLV,0.0,0.0,78.0,100.0
236,RC01,Ongoing,COMPLETIONDATE,45.0,100.0,0.0,0.0
237,RC01,Ongoing,FINALREPORTDATE,34.0,75.55555555555556,11.0,24.444444444444443
238,RC01,Ongoing,FSFV,0.0,0.0,45.0,100.0
239,RC01,Ongoing,LSLV,0.0,0.0,45.0,100.0
240,RC01,Ongoing,COMPLETIONDATE,22.0,100.0,0.0,0.0
241,RC01,Ongoing,FINALREPORTDATE,21.0,95.45454545454545,1.0,4.545454545454546
242,RC01,Ongoing,FSFV,0.0,0.0,22.0,100.0
243,RC01,Ongoing,LSLV,0.0,0.0,22.0,100.0
244,RC01,Approved,COMPLETIONDATE,8.0,100.0,0.0,0.0
245,RC01,Approved,FINALREPORTDATE,8.0,100.0,0.0,0.0
246,RC01,Approved,FSFV,0.0,0.0,8.0,100.0
247,RC01,Approved,LSLV,0.0,0.0,8.0,100.0
248,RC01,Ongoing,COMPLETIONDATE,100.0,100.0,0.0,0.0
249,RC01,Ongoing,FINALREPORTDATE,86.0,86.0,14.0,14.000000000000002
250,RC01,Ongoing,FSFV,0.0,0.0,100.0,100.0
251,RC01,Ongoing,LSLV,0.0,0.0,100.0,100.0
252,RC01,Ongoing,COMPLETIONDATE,1.0,100.0,0.0,0.0
253,RC01,Ongoing,FINALREPORTDATE,1.0,100.0,0.0,0.0
254,RC01,Ongoing,FSFV,0.0,0.0,1.0,100.0
255,RC01,Ongoing,LSLV,0.0,0.0,1.0,100.0
256,RC01,Ongoing,COMPLETIONDATE,2.0,100.0,0.0,0.0
257,RC01,Ongoing,FINALREPORTDATE,2.0,100.0,0.0,0.0
258,RC01,Ongoing,FSFV,0.0,0.0,2.0,100.0
259,RC01,Ongoing,LSLV,0.0,0.0,2.0,100.0
260,RC01,Completed,COMPLETIONDATE,39.0,100.0,0.0,0.0
261,RC01,Completed,FINALREPORTDATE,39.0,100.0,0.0,0.0
262,RC01,Completed,FSFV,0.0,0.0,39.0,100.0
263,RC01,Completed,LSLV,0.0,0.0,39.0,100.0
264,RC01,Terminated,COMPLETIONDATE,9.0,100.0,0.0,0.0
265,RC01,Terminated,FINALREPORTDATE,8.0,88.88888888888889,1.0,11.11111111111111
266,RC01,Terminated,FSFV,0.0,0.0,9.0,100.0
267,RC01,Terminated,LSLV,0.0,0.0,9.0,100.0
268,RC01,Canceled,COMPLETIONDATE,6.0,54.54545454545454,5.0,45.45454545454545
269,RC01,Canceled,FINALREPORTDATE,0.0,0.0,11.0,100.0
270,RC01,Canceled,FSFV,0.0,0.0,11.0,100.0
271,RC01,Canceled,LSLV,0.0,0.0,11.0,100.0
272,RC01,Canceled,COMPLETIONDATE,1.0,100.0,0.0,0.0
273,RC01,Canceled,FINALREPORTDATE,0.0,0.0,1.0,100.0
274,RC01,Canceled,FSFV,0.0,0.0,1.0,100.0
275,RC01,Canceled,LSLV,0.0,0.0,1.0,100.0
276,RC01,Canceled,COMPLETIONDATE,3.0,60.0,2.0,40.0
277,RC01,Canceled,FINALREPORTDATE,0.0,0.0,5.0,100.0
278,RC01,Canceled,FSFV,0.0,0.0,5.0,100.0
279,RC01,Canceled,LSLV,0.0,0.0,5.0,100.0
280,RC01,Canceled,COMPLETIONDATE,2.0,100.0,0.0,0.0
281,RC01,Canceled,FINALREPORTDATE,0.0,0.0,2.0,100.0
282,RC01,Canceled,FSFV,0.0,0.0,2.0,100.0
283,RC01,Canceled,LSLV,0.0,0.0,2.0,100.0
284,RC01,Canceled,COMPLETIONDATE,9.0,100.0,0.0,0.0
285,RC01,Canceled,FINALREPORTDATE,0.0,0.0,9.0,100.0
286,RC01,Canceled,FSFV,0.0,0.0,9.0,100.0
287,RC01,Canceled,LSLV,0.0,0.0,9.0,100.0
288,RC01,Canceled,COMPLETIONDATE,15.0,88.23529411764706,2.0,11.76470588235294
289,RC01,Canceled,FINALREPORTDATE,0.0,0.0,17.0,100.0
290,RC01,Canceled,FSFV,0.0,0.0,17.0,100.0
291,RC01,Canceled,LSLV,0.0,0.0,17.0,100.0
292,RC01,Canceled,COMPLETIONDATE,4.0,80.0,1.0,20.0
293,RC01,Canceled,FINALREPORTDATE,0.0,0.0,5.0,100.0
294,RC01,Canceled,FSFV,0.0,0.0,5.0,100.0
295,RC01,Canceled,LSLV,0.0,0.0,5.0,100.0
296,RC01,Terminated,COMPLETIONDATE,4.0,100.0,0.0,0.0
297,RC01,Terminated,FINALREPORTDATE,0.0,0.0,4.0,100.0
298,RC01,Terminated,FSFV,0.0,0.0,4.0,100.0
299,RC01,Terminated,LSLV,0.0,0.0,4.0,100.0
300,RC01,Pending,COMPLETIONDATE,5.0,50.0,5.0,50.0
301,RC01,Pending,FINALREPORTDATE,0.0,0.0,10.0,100.0
302,RC01,Pending,FSFV,0.0,0.0,10.0,100.0
303,RC01,Pending,LSLV,0.0,0.0,10.0,100.0
304,RC01,Ongoing,COMPLETIONDATE,1.0,100.0,0.0,0.0
305,RC01,Ongoing,FINALREPORTDATE,0.0,0.0,1.0,100.0
306,RC01,Ongoing,FSFV,0.0,0.0,1.0,100.0
307,RC01,Ongoing,LSLV,0.0,0.0,1.0,100.0
308,RC01,Approved,COMPLETIONDATE,1.0,100.0,0.0,0.0
309,RC01,Approved,FINALREPORTDATE,0.0,0.0,1.0,100.0
310,RC01,Approved,FSFV,0.0,0.0,1.0,100.0
311,RC01,Approved,LSLV,0.0,0.0,1.0,100.0
312,RC01,Ongoing,COMPLETIONDATE,0.0,0.0,2.0,100.0
313,RC01,Ongoing,FINALREPORTDATE,0.0,0.0,2.0,100.0
314,RC01,Ongoing,FSFV,0.0,0.0,2.0,100.0
315,RC01,Ongoing,LSLV,0.0,0.0,2.0,100.0
316,RC01,Approved,COMPLETIONDATE,15.0,88.23529411764706,2.0,11.76470588235294
317,RC01,Approved,FINALREPORTDATE,0.0,0.0,17.0,100.0
318,RC01,Approved,FSFV,0.0,0.0,17.0,100.0
319,RC01,Approved,LSLV,0.0,0.0,17.0,100.0
320,RC01,Approved,COMPLETIONDATE,11.0,100.0,0.0,0.0
321,RC01,Approved,FINALREPORTDATE,0.0,0.0,11.0,100.0
322,RC01,Approved,FSFV,0.0,0.0,11.0,100.0
323,RC01,Approved,LSLV,0.0,0.0,11.0,100.0
324,RC01,Ongoing,COMPLETIONDATE,2.0,100.0,0.0,0.0
325,RC01,Ongoing,FINALREPORTDATE,0.0,0.0,2.0,100.0
326,RC01,Ongoing,FSFV,0.0,0.0,2.0,100.0
327,RC01,Ongoing,LSLV,0.0,0.0,2.0,100.0
328,RC01,Unknown,COMPLETIONDATE,1.0,100.0,0.0,0.0
329,RC01,Unknown,FINALREPORTDATE,0.0,0.0,1.0,100.0
330,RC01,Unknown,FSFV,0.0,0.0,1.0,100.0
331,RC01,Unknown,LSLV,0.0,0.0,1.0,100.0
332,RC01,Completed,COMPLETIONDATE,1.0,100.0,0.0,0.0
333,RC01,Completed,FINALREPORTDATE,1.0,100.0,0.0,0.0
334,RC01,Completed,FSFV,0.0,0.0,1.0,100.0
335,RC01,Completed,LSLV,0.0,0.0,1.0,100.0
336,RC01,Unknown,COMPLETIONDATE,1.0,100.0,0.0,0.0
337,RC01,Unknown,FINALREPORTDATE,0.0,0.0,1.0,100.0
338,RC01,Unknown,FSFV,0.0,0.0,1.0,100.0
339,RC01,Unknown,LSLV,0.0,0.0,1.0,100.0
